indicator_id,year,value
#indicator+code,#date+year,#indicator+value+num
68606,2019,0.462
137506,2019,0.682
138806,2019,0.556
68606,2018,0.463
137506,2018,0.68
138806,2018,0.554
68606,2017,0.466
137506,2017,0.677
138806,2017,0.551
68606,2016,0.472
137506,2016,0.676
138806,2016,0.549
68606,2015,0.477
137506,2015,0.674
138806,2015,0.547
68606,2014,0.479
137506,2014,0.671
138806,2014,0.548
68606,2013,0.483
137506,2013,0.666
138806,2013,0.544
68606,2012,0.491
137506,2012,0.662
138806,2012,0.536
68606,2011,0.492
137506,2011,0.658
138806,2011,0.512
68606,2010,0.498
137506,2010,0.649
138806,2010,0.528
137506,2009,0.641
137506,2008,0.638
137506,2007,0.634
137506,2006,0.63
68606,2005,0.525
137506,2005,0.629
137506,2004,0.625
137506,2003,0.618
137506,2002,0.622
137506,2001,0.619
68606,2000,0.55
137506,2000,0.616
137506,1999,0.611
137506,1998,0.607
137506,1997,0.603
137506,1996,0.598
137506,1995,0.588
137506,1994,0.582
137506,1993,0.572
137506,1992,0.559
137506,1991,0.544
137506,1990,0.548
